name_customer,cust_number,doc_id,total_open_amount,due_in_date,paymentPredictedDate
BJ'S  systems,200726979,1930821958,265.44,5/9/2020,5/8/2020
PJ  trust,100046480,1991842276,13901,4/24/2020,5/9/2020
MCL associates,200799367,1930825434,6899.19,2/21/2020,5/10/2020
BJ'S  in,200726979,1930821679,899.55,5/9/2020,5/7/2020
WAL-MAR trust,200769623,1930822369,1898.2,5/9/2020,4/21/2020
US  corporation,200789077,1930808474,27259.65,5/9/2020,5/11/2020
COSTCO associates,140104429,-2147483648,67441.86,5/14/2020,5/27/2020
WAL-MAR llc,200769623,1930826902,17949.07,5/10/2020,5/5/2020
WAL-MAR co,200769623,1930823981,728.16,5/10/2020,5/11/2020
WAL-MAR systems,200769623,1930824397,1898.9,5/10/2020,5/9/2020
SA llc,200759878,1930822525,56557.39,5/10/2020,5/10/2020
TARG foundation,200744019,1930823286,24691.64,5/10/2020,3/23/2020
WAL-MAR associates,200769623,1930825416,30774.77,5/10/2020,5/9/2020
WAKE foundation,200704858,1930825421,40237.3,5/10/2020,5/12/2020
BJ'S  us,200726979,1930823229,674.55,5/10/2020,5/6/2020
WAL-MAR in,200769623,1930825538,3087.64,5/10/2020,5/7/2020
PUBLI ,200707822,1930827507,9976.34,5/10/2020,5/10/2020
WAL-MAR foundation,200769623,1930826861,67210.07,5/10/2020,5/10/2020
RA foundation,200704045,1930827855,40779.91,5/10/2020,5/10/2020
WAL-MAR trust,200769623,1930810965,3612.31,5/10/2020,5/8/2020
BURR in,200555117,1930808583,123484.07,5/10/2020,5/11/2020
WAL-MAR llc,200769623,1930823090,129.43,5/10/2020,5/7/2020
WAL-MAR foundation,200769623,1930824635,1063.19,5/10/2020,5/3/2020
OK trust,200739534,1930827336,60185.18,5/10/2020,5/10/2020
C&S WH in,200762301,1930826821,29567.61,5/10/2020,5/10/2020
SAFEW co,200772595,1930824473,64684.7,5/10/2020,5/9/2020
WAL-MAR corporation,200769623,1930826178,3148.65,5/10/2020,5/7/2020
WAL-MAR corporation,200769623,1930822227,12.44,5/10/2020,5/11/2020
WAL-MAR foundation,200769623,1930822833,15329.66,5/10/2020,5/9/2020
WAL-MAR systems,200769623,1930823976,909.01,5/10/2020,5/11/2020
WAL-MAR co,200769623,1930823803,66307.27,5/10/2020,5/7/2020
DOT llc,200705742,1930826893,1807.46,5/10/2020,5/7/2020
WAL-MAR corporation,200769623,1930823107,27860.74,5/10/2020,6/16/2020
H Y LO corp,140104223,-2147483648,28877.33,5/15/2020,4/23/2020
WAL-MAR systems,200769623,1930825431,17564.6,5/10/2020,5/8/2020
MID MO ,200723794,1930827375,27096.7,5/10/2020,5/15/2020
WAL-MAR us,200769623,1930827134,4110.17,5/10/2020,5/10/2020
KROG trust,200749782,1930822132,27845.21,5/10/2020,5/1/2020
WAL-MAR corporation,200769623,1930823747,1898.2,5/10/2020,5/10/2020
RA co,200704045,1930826578,67884.73,5/10/2020,5/9/2020
WAL-MAR in,200769623,1930825538,3087.64,5/10/2020,5/9/2020
WAL-MAR ,200769623,1930819719,8351.07,5/10/2020,5/17/2020
WAL-MAR ,200769623,1930819886,30062.46,5/10/2020,5/10/2020
WAL-MAR associates,200769623,1930823095,18458.82,5/10/2020,5/10/2020
TARG systems,200744019,1930822668,2942.95,5/10/2020,5/11/2020
TARG co,200744019,1930822672,6656.16,5/10/2020,5/10/2020
WAL-MAR systems,200769623,1930819852,43643.03,5/10/2020,7/15/2020
TARG foundation,200744019,1930823964,5189.05,5/10/2020,5/10/2020
SA foundation,200759878,1930814388,13844.17,5/10/2020,5/8/2020
SUPE corporation,200936373,1930823854,22028.23,5/10/2020,6/26/2020
WAL-MAR foundation,200769623,1930827385,50713.62,5/10/2020,5/9/2020
G T  co,140106372,-2147483648,47736,5/7/2020,5/5/2020
WAL-MAR llc,200769623,1930823980,10257.58,5/10/2020,5/10/2020
M trust,200793830,1930820186,59965.13,5/10/2020,4/29/2020
SA foundation,200759878,1930815496,17570.94,5/10/2020,5/28/2020
TARG associates,200744019,1930822669,3031.94,5/10/2020,5/14/2020
PUBLI corporation,200707822,1930825788,105192.37,5/10/2020,5/10/2020
WAL-MAR corp,200769623,1930827592,2088.03,5/10/2020,5/1/2020
WAL-MAR co,200769623,1930824562,23577.88,5/10/2020,5/7/2020
WAL-MAR ,200769623,1930826786,1898.2,5/10/2020,5/18/2020
WAL-MAR in,200769623,1930822895,46170.77,5/10/2020,4/22/2020
WAL-MAR systems,200769623,1930824397,1898.9,5/10/2020,5/10/2020
OK trust,200739534,1930827336,60185.18,5/10/2020,5/10/2020
WAL-MAR co,200769623,1930823533,4999.68,5/10/2020,6/16/2020
C&S WH corp,200762301,1930825794,85809.22,5/10/2020,5/11/2020
DOT corp,200705742,1930827108,5899.27,5/10/2020,5/10/2020
BJ'S  foundation,200726979,1930829090,770.06,5/10/2020,5/11/2020
TARG corporation,200744019,1930826732,38356.41,5/10/2020,4/22/2020
ASSOCIAT foundation,200772670,1930825974,718.58,5/10/2020,5/10/2020
TARG co,200744019,1930825930,29262.71,5/10/2020,5/7/2020
AM corp,200418007,1930805994,1119.08,5/10/2020,5/10/2020
WAL-MAR associates,200769623,1930822083,20810.42,5/10/2020,5/7/2020
WAL-MAR trust,200769623,1930825740,43565.21,5/10/2020,5/7/2020
PUBLI corporation,200707822,1930827251,13744.11,5/10/2020,5/9/2020
BJ'S  systems,200726979,1930823097,363.57,5/10/2020,5/10/2020
WAL-MAR ,200769623,1930826591,207.79,5/10/2020,5/7/2020
TARG in,200744019,1930809667,26611.2,5/10/2020,5/8/2020
WAKE trust,200704858,1930822840,1257.48,5/10/2020,5/8/2020
PUBLI trust,200707822,1930827373,35668.14,5/10/2020,5/7/2020
WAL-MAR ,200769623,1930823088,6847.62,5/10/2020,5/14/2020
WAL-MAR ,200769623,1930826654,3227.43,5/10/2020,6/16/2020
WAL-MAR us,200769623,1930826652,25795.39,5/10/2020,5/9/2020
LOB in,140104409,-2147483648,78310.26,5/10/2020,5/10/2020
DOLLA associates,200148860,1930821593,13609.79,6/29/2020,5/9/2020
ASSOCIAT systems,200772670,1930827359,27526.39,5/10/2020,5/10/2020
WAL-MAR corporation,200769623,1930826588,3840.69,5/10/2020,5/7/2020
WAL-MAR us,200769623,1930822231,10986.99,5/10/2020,5/10/2020
WAL-MAR us,200769623,1930819702,56061.12,5/10/2020,5/10/2020
DOLLA trust,200148860,1930822060,138254.55,5/10/2020,5/11/2020
COST trust,200794332,1930803799,32481.88,5/15/2020,5/14/2020
AM corp,200418007,1930817589,29854.25,5/11/2020,5/9/2020
KROGER trust,200729290,1930827465,73408.53,5/11/2020,5/11/2020
ROU us,200790107,1930828760,60278.64,5/11/2020,5/12/2020
PUBLI llc,200707822,1930825847,67535.29,5/11/2020,5/8/2020
WAL-MAR trust,200769623,1930827701,50621.79,5/11/2020,5/12/2020
WAL-MAR foundation,200769623,1930827848,102.7,5/11/2020,5/7/2020
ALBERT trust,200881076,1930827963,50717.18,5/11/2020,5/11/2020
GORDON F llc,140105847,-2147483648,72332.66,5/6/2020,5/28/2020
NASH  associates,200777735,1930827698,6835,5/11/2020,5/8/2020
BJ'S  llc,200726979,1930829331,554.96,5/11/2020,5/11/2020
INGL foundation,200759082,1930828164,65864.41,5/11/2020,5/10/2020
BJ'S  associates,200726979,1930828789,519.23,5/11/2020,5/10/2020
WAL-MAR co,200769623,1930827345,1992.12,5/11/2020,5/11/2020
WAL-MAR in,200769623,1930826994,48387.63,5/11/2020,5/21/2020
WAL-MAR associates,200769623,1930827182,4110.17,5/11/2020,5/8/2020
NASH  llc,200777735,1930829455,78946.55,5/11/2020,5/12/2020
WALG corp,200712105,1930824568,33453.22,5/11/2020,5/16/2020
BJ'S  in,200726979,1930827639,107.17,5/11/2020,5/11/2020
COST co,140103435,1991841394,5339.24,5/26/2020,5/9/2020
OK us,200739534,1930827284,36450.55,5/11/2020,4/24/2020
C&S WH systems,200762301,1930824389,17479.88,5/11/2020,5/13/2020
C&S WH corporation,200762301,1930847654,18632.48,5/11/2020,5/25/2020
SA co,200759878,1930822622,33169.76,5/11/2020,5/17/2020
WAL-MAR associates,200769623,1930829362,2169.37,5/11/2020,5/13/2020
DELHAIZE corporation,100031704,1930824396,54472.67,5/11/2020,5/15/2020
WAL-MAR ,200769623,1930827761,25206.76,5/11/2020,5/15/2020
WAL-MAR systems,200769623,1930826995,25380.23,5/11/2020,5/26/2020
BJ'S  systems,200726979,1930829705,201.48,5/11/2020,5/11/2020
C&S WH corp,200762301,1930822852,76293.25,5/11/2020,5/12/2020
WAL-MAR systems,200769623,1930827211,38387.54,5/11/2020,5/14/2020
WAL-MAR in,200769623,1930827384,215.38,5/11/2020,5/11/2020
WAL-MAR llc,200769623,1930826855,29318.3,5/11/2020,5/12/2020
WAL-MAR llc,200769623,1930828098,1414.68,5/11/2020,5/8/2020
C&S WH corporation,200762301,1930828650,119965.15,5/11/2020,5/8/2020
WAL-MAR llc,200769623,1930828470,29733.61,5/11/2020,5/7/2020
WAL-MAR corp,200769623,1930823883,19252.61,5/11/2020,5/11/2020
KROGER trust,200729290,1930828503,102439.09,5/11/2020,5/12/2020
WAL-MAR foundation,200769623,1930827068,2691.8,5/11/2020,5/11/2020
PUBLI foundation,200707822,1930824666,42323.11,5/11/2020,5/11/2020
BJ'S  in,200726979,1930829711,170.63,5/11/2020,5/11/2020
COLABOR  foundation,140104340,-2147483648,6802.38,5/8/2020,5/11/2020
TARG ,200744019,1930826967,23616.41,5/11/2020,5/8/2020
C&S WH llc,200762301,1930823077,69035.79,5/11/2020,5/11/2020
WAL-MAR corp,200769623,1930826844,23789.78,5/11/2020,5/8/2020
WAL-MAR us,200769623,1930829349,1508.23,5/11/2020,5/11/2020
WAL-MAR in,200769623,1930827924,53208.54,5/11/2020,5/8/2020
WAL-MAR corp,200769623,1930826662,3797.1,5/11/2020,5/12/2020
SA corp,200759878,1930817346,14070.44,5/11/2020,5/8/2020
WAL-MAR llc,200769623,1930828098,1414.68,5/11/2020,5/12/2020
TOUC corp,140101591,1991842171,28766.46,5/26/2020,5/11/2020
SA co,200759878,1930823074,33238.87,5/11/2020,5/7/2020
WAL-MAR us,200769623,1930826655,26264.38,5/11/2020,5/7/2020
WAL-MAR corp,200769623,1930827247,1991.84,5/11/2020,5/11/2020
WAL-MAR foundation,200769623,1930826616,87.21,5/11/2020,5/8/2020
WAL-MAR systems,200769623,1930822481,64904.18,5/11/2020,5/13/2020
COSTCO llc,140104429,-2147483648,39376.51,5/8/2020,4/29/2020
M llc,200793830,1930827777,129204.65,5/11/2020,5/26/2020
WAL-MAR ,200769623,1930828015,37854.83,5/11/2020,5/7/2020
WAL-MAR us,200769623,1930827433,24,5/11/2020,5/14/2020
WAL-MAR us,200769623,1930826996,41102,5/11/2020,5/8/2020
WAL-MAR associates,200769623,1930827763,11489.16,5/11/2020,5/11/2020
BJ'S  llc,200726979,1930829442,99.19,5/11/2020,5/8/2020
COST associates,200794332,1930825692,15983.15,5/12/2020,5/30/2020
COLABOR  trust,140104340,-2147483648,66129.68,5/9/2020,7/27/2020
NASH  us,200777735,1930828832,13655.89,5/12/2020,5/13/2020
C&S WH corp,200762301,1930830533,73609.9,5/12/2020,5/12/2020
KROGER llc,200729290,1930830272,45468.05,5/12/2020,5/12/2020
METRO  llc,140104423,-2147483648,57606.82,5/10/2020,5/8/2020
BJ'S  llc,200726979,1930828784,575.37,5/12/2020,5/16/2020
METRO  co,140104423,-2147483648,81037.96,5/8/2020,5/12/2020
PERFOR corp,100015455,1930830341,62216.41,5/12/2020,3/30/2020
WAL-MAR trust,200769623,1930828103,47223.98,5/12/2020,5/10/2020
WAL-MAR co,200769623,1930826951,51264.82,5/12/2020,5/15/2020
BJ'S  llc,200726979,1930828252,321.53,5/12/2020,5/11/2020
DOLLAR foundation,100001196,1930826592,6731.04,5/12/2020,5/18/2020
WAL-MAR foundation,200769623,1930826529,876.48,5/12/2020,5/8/2020
C&S WH ,200762301,1930827767,78121.72,5/12/2020,5/12/2020
TARG foundation,200744019,1930830534,36619.08,5/12/2020,5/8/2020
C&S WH in,200762301,1930822375,21818.29,5/12/2020,5/11/2020
M  corp,200424504,1930830470,595.54,5/15/2020,5/21/2020
DOT in,200705742,1930827276,2219.59,5/31/2020,6/17/2020
WAL-MAR llc,200769623,1930827422,5115.08,5/12/2020,5/12/2020
SUPE systems,200741831,1930828200,35768.62,5/12/2020,5/11/2020
SA associates,200759878,1930826745,26695.63,5/12/2020,6/3/2020
WAL-MAR ,200769623,1930826831,5417.43,5/12/2020,5/8/2020
COST corporation,200794332,1930825680,3365.65,5/12/2020,5/15/2020
ASSOCIAT foundation,200772670,1930832161,1943.25,5/12/2020,5/12/2020
WAL-MAR corporation,200769623,1930830658,1886.24,5/12/2020,5/8/2020
WAL-M associates,140106408,-2147483648,11520,5/7/2020,5/8/2020
HAR corporation,200762950,1930832187,25224.08,5/12/2020,5/9/2020
US  us,200895843,1930829461,11629.04,5/12/2020,4/3/2020
LOB systems,140104409,-2147483648,45940.31,5/9/2020,5/12/2020
DELHAIZE in,100031704,1930830014,40885.21,5/12/2020,5/12/2020
ADEL systems,200594874,1930827073,82156.57,5/12/2020,5/15/2020
C&S WH corp,200762301,1930828634,10444.3,5/12/2020,5/22/2020
COST co,200794332,1930825482,10060.36,5/12/2020,5/12/2020
ASSOCIAT trust,200772670,1930830461,25835.12,5/12/2020,5/11/2020
DELHAIZE llc,100031704,1930830351,72276.6,5/12/2020,5/8/2020
DOLLAR in,100001196,1930826584,7067.59,5/12/2020,4/7/2020
C&S WH corp,200762301,1930827263,132110.34,5/12/2020,5/9/2020
NASH  trust,200777735,1930830486,9281.06,5/12/2020,5/7/2020
WAL-MAR foundation,200769623,1930823869,24411.9,5/12/2020,5/12/2020
COSTCO llc,140104429,-2147483648,42580.61,5/7/2020,5/12/2020
COSTCO corp,140104429,-2147483648,3791.82,5/9/2020,5/20/2020
KROGE associates,200776463,1930830273,72331.42,5/12/2020,5/12/2020
WAL-MAR trust,200769623,1930827026,6994.93,5/12/2020,5/15/2020
BOZZU in,200779906,1930829372,93567.85,5/12/2020,5/3/2020
COAS associates,200337148,1930830656,828.68,5/12/2020,5/9/2020
TARG llc,200744019,1930827096,6428.5,5/12/2020,5/21/2020
SHOPPE systems,140105785,-2147483648,10822.14,5/9/2020,5/13/2020
WAL-MAR associates,200769623,1930830396,471.56,5/12/2020,5/12/2020
PUBLI ,200707822,1930828934,2777.13,5/12/2020,5/12/2020
WAL-MAR co,200769623,1930819845,34869.49,5/12/2020,5/8/2020
SO associates,140104440,-2147483648,43362.96,5/8/2020,5/16/2020
RITE us,200781831,1930831182,3739.28,5/12/2020,5/8/2020
WAL-MAR trust,200769623,1930828812,3814.5,5/12/2020,5/12/2020
C&S WH associates,200762301,1930829309,129844.91,5/12/2020,5/13/2020
NASH  systems,200777735,1930830217,19731.1,5/12/2020,3/23/2020
FOOD  trust,200437182,1930831072,44207.15,5/12/2020,5/12/2020
C&S WH trust,200762301,1930827044,58171.73,5/12/2020,5/9/2020
WAL-MAR corp,200769623,1930829335,3270.04,5/12/2020,5/15/2020
MDV/ ,200792734,1930829947,52785.32,5/12/2020,5/15/2020
SO associates,140104440,-2147483648,76980.56,5/9/2020,5/13/2020
CORE-M in,140104331,-2147483648,26035.26,5/15/2020,5/11/2020
PUBLI systems,200707822,1930828933,114753.83,5/12/2020,5/9/2020
WAL-MAR trust,200769623,1930828003,78478.5,5/12/2020,5/3/2020
ASSOCIAT co,200772670,1930830557,1441.66,5/12/2020,5/12/2020
TARG foundation,200744019,1930828499,29552.95,5/12/2020,5/8/2020
NASH  foundation,200777735,1930825726,54505.5,5/12/2020,5/12/2020
DRIS llc,200200412,1930830078,47012.56,5/12/2020,5/12/2020
STATER  associates,200743996,1930829827,64659.81,5/12/2020,5/8/2020
WAL-MAR co,200769623,1930826807,5359.56,5/12/2020,5/25/2020
WESTI foundation,100033439,1930827627,24290.4,5/7/2020,5/8/2020
PUBLI llc,200707822,1930825849,48986.95,5/12/2020,5/9/2020
WAKE systems,200704858,1930826720,19111.37,5/12/2020,5/9/2020
NASH  in,200777735,1930832060,99610.77,5/12/2020,5/11/2020
KEHE  in,200760666,1930819380,4752.38,5/12/2020,5/12/2020
DOLLA in,200148860,1930823675,110828.86,5/12/2020,5/7/2020
WAL-MAR in,200769623,1930826953,45467.41,5/12/2020,5/8/2020
C&S WH us,200762301,1930827927,153940.63,5/12/2020,5/15/2020
QUI trust,200742791,1930814489,30558.44,5/12/2020,5/12/2020
WAL-MAR corporation,200769623,1930827219,2352.97,5/12/2020,5/15/2020
C&S WH co,200762301,1930826162,36426.92,5/12/2020,5/12/2020
WAL-M us,140106408,-2147483648,10711.47,5/9/2020,5/15/2020
WAL-M in,140106408,-2147483648,45249.14,5/9/2020,5/12/2020
C systems,200778870,1930828770,2878.8,5/12/2020,5/12/2020
STATER  associates,200743996,1930829827,64659.81,5/12/2020,5/15/2020
WAL-MAR corporation,200769623,1930830513,25395.68,5/12/2020,5/15/2020
DELHAIZE ,100031704,1930830149,61566.66,5/12/2020,5/12/2020
WAL-MAR associates,200769623,1930827844,34007.09,5/12/2020,5/14/2020
WAL-MAR corporation,200769623,1930828813,22692.79,5/12/2020,5/9/2020
SUN  ,200822668,1930809620,10122.24,5/12/2020,5/12/2020
WAL-MAR llc,200769623,1930827078,2451.4,5/12/2020,5/12/2020
NASH  in,200777735,1930826681,41429.56,5/12/2020,5/12/2020
NASH  in,200777735,1930827074,2456.06,5/12/2020,5/12/2020
WAKE ,200704858,1930827463,76589.23,5/12/2020,5/12/2020
SAFEW trust,200772595,1930828047,5142.47,5/12/2020,5/19/2020
WAL-MAR in,200769623,1930828737,26986.34,5/12/2020,5/14/2020
WAL-MAR systems,200769623,1930828658,664.27,5/12/2020,5/12/2020
C&S WH ,200762301,1930827767,78121.72,5/12/2020,5/12/2020
C&S WH systems,200762301,1930829552,118556.34,5/12/2020,5/13/2020
WAL-MAR systems,200769623,1930826933,39148.38,5/12/2020,5/8/2020
ROU trust,200790107,1930832017,123118.72,5/12/2020,5/12/2020
SA co,200759878,1930829445,7947.56,5/12/2020,5/12/2020
WAL-MAR co,200769623,1930828131,513.49,5/12/2020,5/12/2020
SO in,140104440,-2147483648,168635.22,5/9/2020,5/15/2020
WAL-MAR systems,200769623,1930828564,29386.85,5/12/2020,5/15/2020
KROGER foundation,200729290,1930828096,68160.13,5/12/2020,6/17/2020
C&S WH corp,200762301,1930828663,33253.8,5/12/2020,5/12/2020
WAL-MAR foundation,200769623,1930831173,471.56,5/12/2020,5/12/2020
OK corporation,200739534,1930829479,8726.49,5/12/2020,5/9/2020
SA systems,200759878,1930830322,28098,5/13/2020,5/12/2020
SPAR in,200712187,1930833425,68278.54,5/13/2020,5/13/2020
BJ'S  trust,200726979,1930831077,1214.2,5/13/2020,5/28/2020
WAL-MAR corporation,200769623,1930829098,660.92,5/13/2020,5/13/2020
C&S WH llc,200762301,1930831066,68177.77,5/13/2020,5/14/2020
COSTCO systems,140104429,-2147483648,4456.73,5/10/2020,5/9/2020
WAL-MAR in,200769623,1930832320,8795.86,5/13/2020,5/20/2020
KROGER corp,200743123,1930830589,101676.63,5/13/2020,5/6/2020
TARG associates,200744019,1930825760,17198.48,5/13/2020,5/15/2020
SA ,200729942,1930833748,16518.2,5/13/2020,5/13/2020
AGR corporation,200139730,1930834136,5171.75,5/28/2020,5/9/2020
TIMES foundation,200458131,1930810031,3016.24,5/13/2020,5/13/2020
JETR trust,200705089,1930830096,5765.06,5/13/2020,5/14/2020
SMITH'S llc,200466603,1930832431,99926.39,5/13/2020,4/9/2020
WAL-MAR foundation,200769623,1930829789,9455.23,5/13/2020,5/14/2020
TARG trust,200744019,1930832245,13266.02,5/13/2020,5/9/2020
ASSOCIAT us,200772670,1930832170,22548.4,5/13/2020,5/13/2020
PUBLI corporation,200707822,1930829929,68624.33,5/13/2020,5/10/2020
AMY us,100036292,1930831683,17336.04,5/14/2020,5/10/2020
WAL-MAR corporation,200769623,1930832034,5234.85,5/13/2020,5/8/2020
ASSOCIA trust,200735528,1930825645,39062.02,5/13/2020,5/13/2020
PUBLI ,200707822,1930833075,69719.3,5/13/2020,5/13/2020
DELHAIZE us,100031704,1930833926,39568.81,5/13/2020,5/12/2020
BOZZU us,200779906,1930834200,67184.59,5/13/2020,5/9/2020
WAL-MAR trust,200769623,1930832082,187.35,5/13/2020,5/15/2020
WAL-MAR associates,200769623,1930829384,98.1,5/13/2020,5/15/2020
OK corp,200739534,1930831732,100011.71,5/13/2020,5/8/2020
INGL corp,200759082,1930834251,63934.55,5/13/2020,5/15/2020
DOT co,200705742,1930837915,7337.38,5/13/2020,5/23/2020
WAL-MAR in,200769623,1930822637,11515.64,5/13/2020,5/8/2020
UNITE in,200696090,1930821835,8758.24,5/13/2020,5/14/2020
BOZZU in,200779906,1930833396,62625.88,5/13/2020,5/15/2020
WAL-MAR trust,200769623,1930829968,67396.28,5/13/2020,5/8/2020
AM corp,200418007,1930810925,34883.11,5/13/2020,3/25/2020
WAL-MAR co,200769623,1930833026,8885.57,5/13/2020,7/14/2020
STATER  systems,200743996,1930827399,34548.04,5/13/2020,5/9/2020
M  llc,200424504,1930830030,11265.03,4/15/2020,5/15/2020
C&S WH corporation,200762301,1930830527,32674.95,5/13/2020,5/15/2020
COSTCO associates,140104429,-2147483648,53857.59,5/10/2020,5/17/2020
SUNRIS associates,100049617,1930833219,39038.13,5/18/2020,11/28/2020
WAL-MAR corporation,200769623,1930832591,1085.08,5/13/2020,5/10/2020
ASSOCIAT foundation,200772670,1930837508,5472.38,5/13/2020,5/15/2020
WAL-MAR us,200769623,1930830387,3346.51,5/13/2020,5/9/2020
DOLLARA associates,140105508,-2147483648,72171.42,5/10/2020,5/15/2020
WAL-MAR co,200769623,1930830336,10161.03,5/13/2020,5/17/2020
MCL associates,200799367,1930826514,68333.05,5/13/2020,3/28/2020
ASSOCIAT co,200772670,1930833913,71705.04,5/13/2020,5/12/2020
WAL-MAR us,200769623,1930832437,43.61,5/13/2020,5/7/2020
METRO  foundation,140104423,-2147483648,133121.66,5/10/2020,5/11/2020
KROGER foundation,200748108,1930837583,135863.55,5/13/2020,5/14/2020
C&S WH us,200762301,1930833359,91982.62,5/13/2020,4/21/2020
S AB corporation,200752393,1930833870,154.98,5/13/2020,5/9/2020
COST foundation,200794332,1930829166,16969.32,5/13/2020,5/10/2020
SYSC trust,200186937,1930834306,21930.44,5/13/2020,5/8/2020
COSTCO ,140104429,-2147483648,44433.78,5/16/2020,5/15/2020
SYSC us,140105686,-2147483648,1269.35,5/9/2020,5/13/2020
BJ'S  foundation,200726979,1930830552,714.51,5/13/2020,5/14/2020
FAMILY corp,200786288,1930831187,48461.83,5/13/2020,5/8/2020
MITCH foundation,200799342,1930832928,2513.23,5/13/2020,5/15/2020
WAL-MAR systems,200769623,1930829602,2019.69,5/13/2020,5/9/2020
MCL us,200799367,1930821407,17098.7,5/13/2020,5/11/2020
SMITH'S in,200820380,1930832805,89544.68,5/13/2020,5/8/2020
BOZZU us,200779906,1930831703,985.09,5/13/2020,5/18/2020
ACTIVE M corp,100056054,-2147483648,19341.88,5/14/2020,5/12/2020
DELHAIZE llc,100031704,1930832560,82978.4,5/13/2020,5/9/2020
CORE-M ,140104331,-2147483648,3335.04,5/10/2020,5/28/2020
WAL-MAR corporation,200769623,1930829537,32093.78,5/13/2020,3/23/2020
WAL-MAR co,200769623,1930826634,6540.08,5/13/2020,5/15/2020
COST us,200794332,1930829990,5147.42,5/13/2020,5/12/2020
WAL-MAR corporation,200769623,1930832049,71663.9,5/13/2020,5/16/2020
COST corp,200794332,1930828145,13114.9,5/13/2020,5/8/2020
WAL-MAR trust,200769623,1930828141,27146.06,5/13/2020,5/11/2020
COSTCO trust,140104429,-2147483648,3414.42,5/10/2020,5/13/2020
FAMILY co,200786288,1930829067,71118.48,5/13/2020,5/10/2020
WAL-MAR llc,200769623,1930830866,20793.93,5/13/2020,5/9/2020
C&S WH trust,200762301,1930828237,97481.15,5/13/2020,5/14/2020
WAL-MAR in,200769623,1930829432,5820.57,5/13/2020,5/15/2020
WAL-MAR llc,200769623,1930830825,44627.91,5/13/2020,5/12/2020
COST corporation,200794332,1930827712,30937.82,5/13/2020,5/15/2020
M foundation,200793830,1930831652,22729.29,5/13/2020,5/15/2020
H E BUT associates,200761734,1930833062,82440.87,5/13/2020,6/17/2020
BJ'S  in,200726979,1930829169,634.61,5/13/2020,5/14/2020
BJ'S  corp,200726979,1930830047,1000.64,5/13/2020,5/13/2020
WAL-MAR us,200769623,1930832437,43.61,5/13/2020,5/4/2020
WAL-MAR us,200769623,1930837717,2352.97,5/13/2020,5/13/2020
KROGE corp,200519201,1930828957,197963.27,5/13/2020,5/13/2020
WAL-MAR co,200769623,1930831568,49981.31,5/13/2020,5/27/2020
BJ'S  corp,200726979,1930830086,232.26,5/13/2020,5/14/2020
ALBER us,200014556,1930829033,80116.07,5/13/2020,5/9/2020
DOLLA trust,200148860,1930829847,60186.02,5/13/2020,5/15/2020
M  associates,200424504,1930828847,30359.32,5/15/2020,5/12/2020
GENERAL co,200763489,1930832696,86115.93,5/13/2020,5/14/2020
SA systems,200759878,1930829015,18900.99,5/13/2020,5/16/2020
TARG in,200744019,1930828176,14718.72,5/13/2020,5/16/2020
MDV/ foundation,200792734,1930832760,2814.79,5/13/2020,5/9/2020
WAL-MAR systems,200769623,1930830337,16572.81,5/13/2020,5/16/2020
TARG ,200744019,1930832920,57888.01,5/13/2020,5/16/2020
WAL-MAR ,200769623,1930828991,3345.55,5/13/2020,5/14/2020
GROCE corp,200573068,1930831659,17134.16,5/13/2020,5/19/2020
M corporation,200793830,1930833800,124100.87,5/13/2020,5/14/2020
PUBLI llc,200707822,1930828931,146644.34,5/13/2020,5/19/2020
WAL-MAR associates,200769623,1930837716,20889.65,5/13/2020,5/18/2020
SHOPPE us,140105785,-2147483648,16896,5/10/2020,5/8/2020
HARB co,200678532,1930833789,18344.77,5/13/2020,5/22/2020
BJ'S  corporation,200726979,1930830827,321.53,5/13/2020,5/15/2020
WAL-MAR in,200769623,1930827696,67207.67,5/13/2020,5/18/2020
SAVE-ON- llc,140104225,-2147483648,31198.37,5/16/2020,5/30/2020
WAL-MAR ,200769623,1930827153,19989.92,5/13/2020,5/9/2020
SYSCO F us,200718130,1930831983,11284.05,5/13/2020,5/11/2020
WAL-MAR systems,200769623,1930833025,33818.77,5/13/2020,5/11/2020
INGL us,200759082,1930832211,29463.04,5/13/2020,5/15/2020
WAL-MAR co,200769623,1930830563,26952.76,5/13/2020,5/9/2020
SYSCO F corporation,200763814,1930833004,16659.53,5/13/2020,5/13/2020
WAL-MAR corporation,200769623,1930832317,1322.22,5/13/2020,5/9/2020
M  llc,200424504,1930830823,414.35,5/15/2020,5/15/2020
WAL-MAR trust,200769623,1930837444,1329.23,5/13/2020,5/15/2020
TARG corp,200744019,1930830915,1986.45,5/13/2020,5/12/2020
MAINES foundation,200765011,1930833382,26551.17,5/13/2020,5/9/2020
C&S WH associates,200762301,1930831963,59966.99,5/13/2020,5/1/2020
BJ'S  systems,200726979,1930842557,305.55,5/13/2020,5/23/2020
TARG associates,200744019,1930832244,15894.63,5/13/2020,5/15/2020
COSTCO systems,140104429,-2147483648,39376.51,5/10/2020,5/15/2020
FAMILY llc,200786288,1930829592,40760.63,5/13/2020,5/9/2020
COSTCO foundation,140104429,-2147483648,57534,5/17/2020,5/1/2020
C&S WH associates,200762301,1930827651,37510.57,5/13/2020,5/12/2020
JAKE in,200397526,1930825520,5358.28,5/13/2020,5/15/2020
FAMILY corp,200786288,1930829528,78593.04,5/13/2020,5/15/2020
